timestep,adopted,alpha
0,0.0,0.2
1,0.0,0.2
2,0.0,0.2
3,0.0,0.2
4,0.0,0.2
5,0.0,0.2
6,0.0,0.2
7,0.0,0.2
8,0.0,0.2
9,0.0,0.2
10,0.0,0.2
11,0.0,0.2
12,0.0,0.2
13,0.0,0.2
14,0.0,0.2
15,0.0,0.2
16,0.0,0.2
17,0.0,0.2
18,0.0,0.2
19,0.0,0.2
20,0.0,0.2
21,0.0,0.2
22,0.0,0.2
23,0.0,0.2
24,0.0,0.2
25,0.0,0.2
26,0.0,0.2
27,0.0,0.2
28,0.0,0.2
29,0.0,0.2
30,0.0,0.2
31,0.0,0.2
32,0.0,0.2
33,0.0,0.2
34,0.0,0.2
35,0.0,0.2
36,0.0,0.2
37,0.0,0.2
38,0.0,0.2
39,0.0,0.2
40,0.0,0.2
41,0.0,0.2
42,0.0,0.2
43,0.0,0.2
44,0.0,0.2
45,0.0,0.2
46,0.0,0.2
47,0.0,0.2
48,0.0,0.2
49,0.0013333333333333333,0.2
50,0.002,0.2
51,0.0033333333333333335,0.2
52,0.008,0.2
53,0.010666666666666666,0.2
54,0.014,0.2
55,0.02,0.2
56,0.03066666666666667,0.2
57,0.043333333333333335,0.2
58,0.056,0.2
59,0.07200000000000001,0.2
60,0.09200000000000001,0.2
61,0.114,0.2
62,0.15066666666666667,0.2
63,0.18466666666666667,0.2
64,0.21866666666666668,0.2
65,0.264,0.2
66,0.30733333333333335,0.2
67,0.35733333333333334,0.2
68,0.41733333333333333,0.2
69,0.47333333333333333,0.2
70,0.5233333333333333,0.2
71,0.574,0.2
72,0.6253333333333334,0.2
73,0.672,0.2
74,0.7213333333333334,0.2
75,0.7613333333333333,0.2
76,0.7933333333333333,0.2
77,0.82,0.2
78,0.8446666666666667,0.2
79,0.8621428571428572,0.2
80,0.8814285714285715,0.2
81,0.9014285714285714,0.2
82,0.9144,0.2
83,0.9234782608695652,0.2
84,0.9356521739130435,0.2
85,0.9369999999999999,0.2
86,0.9452631578947369,0.2
87,0.956470588235294,0.2
88,0.96375,0.2
89,0.9671428571428571,0.2
90,0.96,0.2
91,0.97,0.2
92,0.9733333333333333,0.2
93,0.975,0.2
94,0.9714285714285714,0.2
95,0.9828571428571429,0.2
96,0.984,0.2
97,0.9866666666666667,0.2
98,0.98,0.2
99,0.98,0.2
100,0.98,0.2
101,0.98,0.2
102,0.98,0.2
103,0.99,0.2
104,1.0,0.2
0,0.0,0.7
1,0.0,0.7
2,0.0,0.7
3,0.0,0.7
4,0.0,0.7
5,0.0,0.7
6,0.0,0.7
7,0.0,0.7
8,0.0,0.7
9,0.0,0.7
10,0.0,0.7
11,0.0,0.7
12,0.0,0.7
13,0.0,0.7
14,0.0,0.7
15,0.0,0.7
16,0.0,0.7
17,0.0,0.7
18,0.0,0.7
19,0.0,0.7
20,0.0,0.7
21,0.0,0.7
22,0.0,0.7
23,0.0,0.7
24,0.0,0.7
25,0.0,0.7
26,0.0,0.7
27,0.0,0.7
28,0.0,0.7
29,0.0,0.7
30,0.0006666666666666666,0.7
31,0.0013333333333333333,0.7
32,0.0026666666666666666,0.7
33,0.0026666666666666666,0.7
34,0.004,0.7
35,0.006666666666666667,0.7
36,0.008,0.7
37,0.012,0.7
38,0.015333333333333334,0.7
39,0.024,0.7
40,0.034666666666666665,0.7
41,0.044000000000000004,0.7
42,0.05533333333333333,0.7
43,0.07,0.7
44,0.09000000000000001,0.7
45,0.11333333333333333,0.7
46,0.14,0.7
47,0.17266666666666666,0.7
48,0.21,0.7
49,0.25266666666666665,0.7
50,0.302,0.7
51,0.3513333333333334,0.7
52,0.39866666666666667,0.7
53,0.442,0.7
54,0.49133333333333334,0.7
55,0.5353333333333333,0.7
56,0.5846666666666667,0.7
57,0.6266666666666667,0.7
58,0.6753333333333333,0.7
59,0.712,0.7
60,0.7506666666666667,0.7
61,0.7886666666666666,0.7
62,0.8273333333333334,0.7
63,0.8533333333333334,0.7
64,0.8706666666666667,0.7
65,0.8926666666666667,0.7
66,0.91,0.7
67,0.9239999999999999,0.7
68,0.9365517241379311,0.7
69,0.9462068965517241,0.7
70,0.9496296296296296,0.7
71,0.9575999999999999,0.7
72,0.9608695652173912,0.7
73,0.9619047619047618,0.7
74,0.9676190476190476,0.7
75,0.976,0.7
76,0.9746666666666666,0.7
77,0.9784615384615384,0.7
78,0.9781818181818182,0.7
79,0.984,0.7
80,0.9885714285714285,0.7
81,0.98,0.7
82,0.985,0.7
83,0.9866666666666667,0.7
84,0.99,0.7
85,0.98,0.7
86,0.98,0.7
87,0.98,0.7
88,0.98,0.7
89,0.98,0.7
90,1.0,0.7
0,0.0,0.4
1,0.0,0.4
2,0.0,0.4
3,0.0,0.4
4,0.0,0.4
5,0.0,0.4
6,0.0,0.4
7,0.0,0.4
8,0.0,0.4
9,0.0,0.4
10,0.0,0.4
11,0.0,0.4
12,0.0,0.4
13,0.0,0.4
14,0.0,0.4
15,0.0,0.4
16,0.0,0.4
17,0.0,0.4
18,0.0,0.4
19,0.0,0.4
20,0.0,0.4
21,0.0,0.4
22,0.0,0.4
23,0.0,0.4
24,0.0,0.4
25,0.0,0.4
26,0.0,0.4
27,0.0,0.4
28,0.0,0.4
29,0.0,0.4
30,0.0,0.4
31,0.0,0.4
32,0.0,0.4
33,0.0,0.4
34,0.0,0.4
35,0.0,0.4
36,0.0,0.4
37,0.0006666666666666666,0.4
38,0.0006666666666666666,0.4
39,0.0013333333333333333,0.4
40,0.0033333333333333335,0.4
41,0.004,0.4
42,0.006666666666666667,0.4
43,0.010666666666666666,0.4
44,0.01933333333333333,0.4
45,0.024666666666666667,0.4
46,0.03933333333333333,0.4
47,0.05733333333333334,0.4
48,0.078,0.4
49,0.10266666666666667,0.4
50,0.13066666666666665,0.4
51,0.164,0.4
52,0.20533333333333334,0.4
53,0.25133333333333335,0.4
54,0.30133333333333334,0.4
55,0.35733333333333334,0.4
56,0.42400000000000004,0.4
57,0.47200000000000003,0.4
58,0.5286666666666666,0.4
59,0.5833333333333334,0.4
60,0.6359999999999999,0.4
61,0.6866666666666668,0.4
62,0.7333333333333333,0.4
63,0.7746666666666666,0.4
64,0.818,0.4
65,0.852,0.4
66,0.8793333333333333,0.4
67,0.8993103448275861,0.4
68,0.9158620689655173,0.4
69,0.9317241379310345,0.4
70,0.9370370370370371,0.4
71,0.9511111111111111,0.4
72,0.9614814814814815,0.4
73,0.9678260869565216,0.4
74,0.96375,0.4
75,0.9728571428571428,0.4
76,0.9766666666666666,0.4
77,0.976,0.4
78,0.9777777777777779,0.4
79,0.9828571428571429,0.4
80,0.98,0.4
81,0.985,0.4
82,0.9866666666666667,0.4
83,0.98,0.4
84,1.0,0.4
0,0.0,0.8
1,0.0,0.8
2,0.0,0.8
3,0.0,0.8
4,0.0,0.8
5,0.0,0.8
6,0.0,0.8
7,0.0,0.8
8,0.0,0.8
9,0.0,0.8
10,0.0,0.8
11,0.0,0.8
12,0.0,0.8
13,0.0,0.8
14,0.0,0.8
15,0.0,0.8
16,0.0,0.8
17,0.0,0.8
18,0.0,0.8
19,0.0,0.8
20,0.0,0.8
21,0.0,0.8
22,0.0,0.8
23,0.0,0.8
24,0.0,0.8
25,0.0,0.8
26,0.0,0.8
27,0.0,0.8
28,0.0006666666666666666,0.8
29,0.0006666666666666666,0.8
30,0.0006666666666666666,0.8
31,0.0013333333333333333,0.8
32,0.002,0.8
33,0.0026666666666666666,0.8
34,0.0026666666666666666,0.8
35,0.005333333333333333,0.8
36,0.009333333333333334,0.8
37,0.012,0.8
38,0.016,0.8
39,0.02,0.8
40,0.025333333333333333,0.8
41,0.034,0.8
42,0.04933333333333333,0.8
43,0.06333333333333332,0.8
44,0.08266666666666667,0.8
45,0.10066666666666667,0.8
46,0.12933333333333333,0.8
47,0.154,0.8
48,0.17666666666666667,0.8
49,0.20666666666666667,0.8
50,0.24733333333333332,0.8
51,0.27799999999999997,0.8
52,0.32466666666666666,0.8
53,0.36333333333333334,0.8
54,0.4,0.8
55,0.43666666666666665,0.8
56,0.4786666666666667,0.8
57,0.534,0.8
58,0.5773333333333334,0.8
59,0.6093333333333334,0.8
60,0.6493333333333333,0.8
61,0.676,0.8
62,0.7106666666666667,0.8
63,0.7420000000000001,0.8
64,0.768,0.8
65,0.7946666666666666,0.8
66,0.8133333333333332,0.8
67,0.8373333333333334,0.8
68,0.8566666666666667,0.8
69,0.8751724137931034,0.8
70,0.8892857142857142,0.8
71,0.9064285714285714,0.8
72,0.9177777777777778,0.8
73,0.9231999999999999,0.8
74,0.9249999999999999,0.8
75,0.9416666666666668,0.8
76,0.9504347826086956,0.8
77,0.9643478260869565,0.8
78,0.9685714285714285,0.8
79,0.9726315789473684,0.8
80,0.972,0.8
81,0.9733333333333333,0.8
82,0.9757142857142858,0.8
83,0.9733333333333333,0.8
84,0.9766666666666666,0.8
85,0.9818181818181819,0.8
86,0.9822222222222222,0.8
87,0.9824999999999999,0.8
88,0.9828571428571429,0.8
89,0.98,0.8
90,0.98,0.8
91,0.9833333333333334,0.8
92,0.984,0.8
93,0.99,0.8
94,0.98,0.8
95,0.98,0.8
96,0.98,0.8
97,0.98,0.8
98,0.98,0.8
99,0.99,0.8
100,0.98,0.8
101,1.0,0.8
0,0.0,0.3
1,0.0,0.3
2,0.0,0.3
3,0.0,0.3
4,0.0,0.3
5,0.0,0.3
6,0.0,0.3
7,0.0,0.3
8,0.0,0.3
9,0.0,0.3
10,0.0,0.3
11,0.0,0.3
12,0.0,0.3
13,0.0,0.3
14,0.0,0.3
15,0.0,0.3
16,0.0,0.3
17,0.0,0.3
18,0.0,0.3
19,0.0,0.3
20,0.0,0.3
21,0.0,0.3
22,0.0,0.3
23,0.0,0.3
24,0.0,0.3
25,0.0,0.3
26,0.0,0.3
27,0.0,0.3
28,0.0,0.3
29,0.0,0.3
30,0.0,0.3
31,0.0,0.3
32,0.0,0.3
33,0.0,0.3
34,0.0,0.3
35,0.0,0.3
36,0.0,0.3
37,0.0,0.3
38,0.0,0.3
39,0.0,0.3
40,0.0,0.3
41,0.0,0.3
42,0.0,0.3
43,0.0,0.3
44,0.0013333333333333333,0.3
45,0.0033333333333333335,0.3
46,0.006666666666666667,0.3
47,0.009333333333333334,0.3
48,0.016,0.3
49,0.024666666666666667,0.3
50,0.037333333333333336,0.3
51,0.051333333333333335,0.3
52,0.06866666666666667,0.3
53,0.09000000000000001,0.3
54,0.11866666666666667,0.3
55,0.158,0.3
56,0.198,0.3
57,0.23600000000000002,0.3
58,0.2886666666666667,0.3
59,0.3453333333333333,0.3
60,0.39066666666666666,0.3
61,0.4453333333333333,0.3
62,0.5033333333333333,0.3
63,0.5586666666666668,0.3
64,0.6080000000000001,0.3
65,0.66,0.3
66,0.7086666666666667,0.3
67,0.7493333333333333,0.3
68,0.7873333333333333,0.3
69,0.8213333333333334,0.3
70,0.8480000000000001,0.3
71,0.884,0.3
72,0.9079999999999999,0.3
73,0.9253333333333332,0.3
74,0.9386206896551724,0.3
75,0.9521428571428572,0.3
76,0.9608695652173914,0.3
77,0.955,0.3
78,0.9585714285714285,0.3
79,0.9616666666666666,0.3
80,0.9700000000000001,0.3
81,0.9720000000000001,0.3
